Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
LogisticRegression,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.8140740740740741
RandomForest,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.8146296296296297
